,Date,SP_Adj_Close,gdp_quarter,M1,cpi,ppi,M2,t10,t2,spread
51,2005-10-01,1226.699951,13381.6,1375.5,199.1,156.6,6582.9,4.39,4.21,0.18
52,2006-01-01,1268.800049,13648.9,1380.0,199.3,154.1,6663.2,4.635,4.535,0.1
53,2006-04-01,1297.810059,13799.8,1379.8,200.7,157.2,6735.5,4.88,4.86,0.02
54,2006-07-01,1280.189941,13908.5,1370.6,202.9,159.4,6833.9,5.15,5.17,-0.02
55,2006-10-01,1331.319946,14066.4,1369.1,201.9,155.9,6926.0,4.62,4.66,-0.04
56,2007-01-01,1416.599976,14233.2,1373.0,203.437,156.4,7066.0,4.635,4.63,0.005
57,2007-04-01,1424.550049,14422.3,1376.7,205.904,162.2,7167.5,4.65,4.6,0.05
58,2007-07-01,1519.430054,14569.7,1368.7,207.603,164.9,7269.5,5.0,4.86,0.14
59,2007-10-01,1547.040039,14685.3,1377.8,209.19,164.5,7377.4,4.56,4.02,0.54
60,2008-01-01,1447.160034,14668.4,1379.4,212.174,168.5,7451.5,4.065,2.91,1.155
61,2008-04-01,1370.180054,14813.0,1389.5,213.942,175.3,7660.3,3.57,1.8,1.77
62,2008-07-01,1284.910034,14843.0,1417.8,219.016,185.6,7726.9,4.01,2.63,1.38
63,2008-10-01,1161.060059,14549.9,1472.0,216.995,176.8,7886.2,3.77,1.82,1.95
64,2009-01-01,931.799988,14383.9,1585.6,211.933,164.7,8236.1,3.225,1.325,1.9
65,2009-04-01,811.080017,14340.4,1609.4,212.709,164.2,8320.8,2.68,0.83,1.85
66,2009-07-01,923.330017,14384.1,1659.3,214.726,167.1,8408.2,3.55,1.05,2.5
67,2009-10-01,1029.849976,14566.5,1675.3,216.509,168.9,8417.2,3.21,0.87,2.34
68,2010-01-01,1132.98999,14681.1,1677.1,217.488,173.1,8428.9,3.55,0.96,2.59
69,2010-04-01,1178.099976,14888.6,1696.2,217.403,175.2,8488.7,3.89,1.05,2.84
70,2010-07-01,1027.369995,15057.7,1722.4,217.605,174.7,8560.8,2.96,0.63,2.33
71,2010-10-01,1146.23999,15230.2,1778.1,219.035,177.3,8696.0,2.54,0.42,2.12
72,2011-01-01,1271.869995,15238.4,1855.6,221.148,181.1,8773.5,3.36,0.61,2.75
73,2011-04-01,1332.410034,15460.9,1897.8,224.06,190.2,8923.9,3.46,0.8,2.66
74,2011-07-01,1339.670044,15587.1,2001.5,225.419,191.7,9216.8,3.22,0.5,2.72
75,2011-10-01,1099.22998,15785.3,2137.4,226.811,190.2,9546.3,1.8,0.24,1.56
76,2012-01-01,1277.060059,15973.9,2202.3,227.759,191.1,9695.4,2.01,0.285,1.725
77,2012-04-01,1419.040039,16121.9,2245.3,229.172,194.7,9830.1,2.22,0.33,1.89
78,2012-07-01,1365.51001,16227.9,2314.6,228.584,191.2,9986.7,1.61,0.3,1.31
79,2012-10-01,1444.48999,16297.3,2415.5,231.741,195.1,10229.5,1.64,0.25,1.39
80,2013-01-01,1462.420044,16440.7,2467.6,231.444,192.6,10471.6,1.75,0.24,1.51
81,2013-04-01,1562.170044,16526.8,2511.0,231.672,194.0,10579.7,1.86,0.23,1.63
82,2013-07-01,1614.959961,16727.5,2546.3,232.98,194.0,10685.8,2.5,0.34,2.16
83,2013-10-01,1695.0,16957.6,2620.1,233.903,193.7,10865.1,2.66,0.33,2.33
84,2014-01-01,1831.97998,16984.3,2686.4,235.128,194.2,10994.8,2.715,0.385,2.33
85,2014-04-01,1885.52002,17270.0,2774.7,236.24,197.5,11188.8,2.77,0.44,2.33
86,2014-07-01,1973.319946,17522.1,2842.7,237.596,197.4,11357.3,2.58,0.47,2.11
87,2014-10-01,1946.160034,17615.9,2867.6,237.753,194.8,11506.9,2.42,0.53,1.89
88,2015-01-01,2058.199951,17649.3,2935.8,234.677,185.0,11629.4,2.145,0.54,1.605
89,2015-04-01,2059.689941,17913.7,3000.6,235.982,185.7,11940.0,1.87,0.55,1.32
90,2015-07-01,2077.419922,18064.7,3042.3,238.099,188.5,12026.6,2.43,0.69,1.74
91,2015-10-01,1923.819946,18064.7,3035.7,238.042,183.7,12179.3,2.05,0.64,1.41
